task_id,task_description,category,priority,assigned_user,due_date,user_workload
TSK-0020,Create and execute end-to-end test cases for the user profile feature for project 'Omega'. Assigned to user_5.,Testing,High,user_5,2025-08-15,14
TSK-0021,Set up a new CI/CD pipeline for the staging environment for project 'Viper'. Assigned to user_14.,DevOps,Medium,user_14,2025-09-22,10
TSK-0022,Update the privacy policy to comply with new GDPR regulations for project 'Omega'. Assigned to user_10.,Documentation,Medium,user_10,2025-09-15,10
TSK-0023,Create and execute end-to-end test cases for the user profile feature for project 'Eagle'. Assigned to user_2.,Testing,Low,user_2,2025-09-08,6
TSK-0024,Develop the new user authentication module using OAuth 2.0 for project 'Viper'. Assigned to user_16.,Feature,Low,user_16,2025-08-22,5
TSK-0025,Implement a real-time notification system using WebSockets for project 'Eagle'. Assigned to user_16.,Feature,Medium,user_16,2025-08-17,10
TSK-0026,Implement a real-time notification system using WebSockets for project 'Omega'. Assigned to user_11.,Feature,Low,user_11,2025-07-27,6
TSK-0027,Analyze user feedback from the latest survey and create a summary report for project 'Phoenix'. Assigned to user_15.,Testing,Low,user_15,2025-09-07,2
TSK-0028,Migrate the user data from the old server to the new cloud infrastructure for project 'Omega'. Assigned to user_18.,Testing,Medium,user_18,2025-08-16,7
TSK-0029,Write comprehensive API documentation for the new inventory management endpoints for project 'Viper'. Assigned to user_18.,Documentation,Low,user_18,2025-08-11,1
TSK-0030,Optimize the front-end asset loading time for mobile devices for project 'Viper'. Assigned to user_17.,Feature,Medium,user_17,2025-07-28,8
TSK-0031,Write comprehensive API documentation for the new inventory management endpoints for project 'Phoenix'. Assigned to user_12.,Documentation,Low,user_12,2025-08-28,6
TSK-0032,Optimize the front-end asset loading time for mobile devices for project 'Phoenix'. Assigned to user_2.,Feature,Medium,user_2,2025-08-27,10
TSK-0033,Migrate the user data from the old server to the new cloud infrastructure for project 'Viper'. Assigned to user_17.,Bug,High,user_17,2025-09-01,15
TSK-0034,Update the privacy policy to comply with new GDPR regulations for project 'Phoenix'. Assigned to user_18.,Documentation,Medium,user_18,2025-08-28,11
TSK-0035,Write comprehensive API documentation for the new inventory management endpoints for project 'Viper'. Assigned to user_16.,Documentation,Low,user_16,2025-07-30,2
TSK-0036,Analyze user feedback from the latest survey and create a summary report for project 'Viper'. Assigned to user_2.,Testing,Low,user_2,2025-09-19,4
TSK-0037,Create and execute end-to-end test cases for the user profile feature for project 'Viper'. Assigned to user_19.,Testing,Medium,user_19,2025-08-01,12
TSK-0038,Develop the new user authentication module using OAuth 2.0 for project 'Viper'. Assigned to user_1.,Feature,Low,user_1,2025-09-11,5
TSK-0039,Conduct a security audit of the entire application stack for project 'Viper'. Assigned to user_2.,Research,High,user_2,2025-08-28,11
TSK-0040,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Omega'. Assigned to user_5.,Bug,Medium,user_5,2025-08-05,12
TSK-0041,Create and execute end-to-end test cases for the user profile feature for project 'Omega'. Assigned to user_12.,Testing,Low,user_12,2025-09-10,5
TSK-0042,Design the UI/UX mockups for the new dashboard homepage for project 'Omega'. Assigned to user_18.,Design,Low,user_18,2025-09-02,7
TSK-0043,Write comprehensive API documentation for the new inventory management endpoints for project 'Omega'. Assigned to user_15.,Documentation,Medium,user_15,2025-08-18,12
TSK-0044,Build a data visualization component for the analytics dashboard for project 'Viper'. Assigned to user_19.,Design,Medium,user_19,2025-08-23,10
TSK-0045,Refactor the legacy database schema to improve performance for project 'Viper'. Assigned to user_10.,Feature,Medium,user_10,2025-09-20,11
TSK-0046,Fix the critical bug in the payment processing gateway API for project 'Phoenix'. Assigned to user_6.,Bug,High,user_6,2025-08-09,10
TSK-0047,Implement a real-time notification system using WebSockets for project 'Omega'. Assigned to user_7.,Feature,High,user_7,2025-09-02,13
TSK-0048,Set up a new CI/CD pipeline for the staging environment for project 'Omega'. Assigned to user_1.,DevOps,Low,user_1,2025-09-20,5
TSK-0049,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Phoenix'. Assigned to user_9.,Bug,High,user_9,2025-09-05,14
TSK-0050,Refactor the legacy database schema to improve performance for project 'Phoenix'. Assigned to user_19.,Bug,High,user_19,2025-08-20,15
TSK-0051,Design the UI/UX mockups for the new dashboard homepage for project 'Phoenix'. Assigned to user_18.,Design,Low,user_18,2025-09-18,3
TSK-0052,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Eagle'. Assigned to user_4.,Bug,Medium,user_4,2025-09-24,11
TSK-0053,Refactor the legacy database schema to improve performance for project 'Eagle'. Assigned to user_11.,Design,Medium,user_11,2025-09-13,6
TSK-0054,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Viper'. Assigned to user_10.,Bug,High,user_10,2025-08-08,14
TSK-0055,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Viper'. Assigned to user_4.,Bug,High,user_4,2025-09-02,15
TSK-0056,Develop the new user authentication module using OAuth 2.0 for project 'Eagle'. Assigned to user_10.,Feature,Low,user_10,2025-09-01,4
TSK-0057,Develop the new user authentication module using OAuth 2.0 for project 'Omega'. Assigned to user_6.,Feature,Medium,user_6,2025-09-06,11
TSK-0058,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Viper'. Assigned to user_20.,Bug,Low,user_20,2025-09-18,1
TSK-0059,Conduct a security audit of the entire application stack for project 'Eagle'. Assigned to user_12.,Research,High,user_12,2025-08-27,6
TSK-0060,Implement a real-time notification system using WebSockets for project 'Eagle'. Assigned to user_8.,Feature,Low,user_8,2025-08-02,4
TSK-0061,Write comprehensive API documentation for the new inventory management endpoints for project 'Omega'. Assigned to user_1.,Documentation,Low,user_1,2025-09-07,4
TSK-0062,Create and execute end-to-end test cases for the user profile feature for project 'Viper'. Assigned to user_18.,Testing,Medium,user_18,2025-08-25,12
TSK-0063,Develop the new user authentication module using OAuth 2.0 for project 'Eagle'. Assigned to user_17.,Feature,Medium,user_17,2025-09-10,10
TSK-0064,Optimize the front-end asset loading time for mobile devices for project 'Phoenix'. Assigned to user_15.,Feature,Medium,user_15,2025-08-14,12
TSK-0065,Analyze user feedback from the latest survey and create a summary report for project 'Viper'. Assigned to user_2.,Testing,Medium,user_2,2025-09-21,8
TSK-0066,Create and execute end-to-end test cases for the user profile feature for project 'Eagle'. Assigned to user_13.,Testing,High,user_13,2025-08-18,13
TSK-0067,Conduct a security audit of the entire application stack for project 'Eagle'. Assigned to user_11.,Research,High,user_11,2025-08-01,5
TSK-0068,Refactor the legacy database schema to improve performance for project 'Eagle'. Assigned to user_4.,Research,Medium,user_4,2025-08-08,4
TSK-0069,Analyze user feedback from the latest survey and create a summary report for project 'Viper'. Assigned to user_1.,Testing,High,user_1,2025-09-16,13
TSK-0070,Analyze user feedback from the latest survey and create a summary report for project 'Omega'. Assigned to user_14.,Testing,Medium,user_14,2025-08-06,12
TSK-0071,Build a data visualization component for the analytics dashboard for project 'Omega'. Assigned to user_11.,Design,Low,user_11,2025-09-04,7
TSK-0072,Write comprehensive API documentation for the new inventory management endpoints for project 'Eagle'. Assigned to user_15.,Documentation,Medium,user_15,2025-09-11,8
TSK-0073,Create and execute end-to-end test cases for the user profile feature for project 'Omega'. Assigned to user_20.,Testing,Medium,user_20,2025-09-14,11
TSK-0074,Write comprehensive API documentation for the new inventory management endpoints for project 'Phoenix'. Assigned to user_3.,Documentation,Medium,user_3,2025-07-28,12
TSK-0075,Write comprehensive API documentation for the new inventory management endpoints for project 'Omega'. Assigned to user_2.,Documentation,Low,user_2,2025-09-23,5
TSK-0076,Analyze user feedback from the latest survey and create a summary report for project 'Omega'. Assigned to user_17.,Testing,Medium,user_17,2025-08-31,12
TSK-0077,Design the UI/UX mockups for the new dashboard homepage for project 'Phoenix'. Assigned to user_16.,Design,High,user_16,2025-08-01,15
TSK-0078,Set up a new CI/CD pipeline for the staging environment for project 'Omega'. Assigned to user_11.,DevOps,Low,user_11,2025-08-25,2
TSK-0079,Optimize the front-end asset loading time for mobile devices for project 'Omega'. Assigned to user_9.,Feature,Medium,user_9,2025-08-31,6
TSK-0080,Write comprehensive API documentation for the new inventory management endpoints for project 'Eagle'. Assigned to user_3.,Documentation,Low,user_3,2025-09-05,5
TSK-0081,Conduct a security audit of the entire application stack for project 'Phoenix'. Assigned to user_5.,Research,High,user_5,2025-09-02,10
TSK-0082,Optimize the front-end asset loading time for mobile devices for project 'Omega'. Assigned to user_12.,Feature,Medium,user_12,2025-08-19,3
TSK-0083,Create and execute end-to-end test cases for the user profile feature for project 'Phoenix'. Assigned to user_16.,Testing,Low,user_16,2025-09-03,1
TSK-0084,Fix the critical bug in the payment processing gateway API for project 'Phoenix'. Assigned to user_8.,Bug,High,user_8,2025-08-01,1
TSK-0085,Conduct a security audit of the entire application stack for project 'Eagle'. Assigned to user_6.,Research,High,user_6,2025-08-11,5
TSK-0086,Set up a new CI/CD pipeline for the staging environment for project 'Viper'. Assigned to user_2.,DevOps,High,user_2,2025-08-22,15
TSK-0087,Implement a real-time notification system using WebSockets for project 'Phoenix'. Assigned to user_19.,Feature,High,user_19,2025-09-14,15
TSK-0088,Migrate the user data from the old server to the new cloud infrastructure for project 'Eagle'. Assigned to user_18.,Bug,Medium,user_18,2025-08-05,3
TSK-0089,Conduct a security audit of the entire application stack for project 'Phoenix'. Assigned to user_9.,Research,High,user_9,2025-07-26,5
TSK-0090,Set up a new CI/CD pipeline for the staging environment for project 'Omega'. Assigned to user_5.,DevOps,Low,user_5,2025-08-06,3
TSK-0091,Refactor the legacy database schema to improve performance for project 'Omega'. Assigned to user_16.,Research,Medium,user_16,2025-08-04,12
TSK-0092,Fix the critical bug in the payment processing gateway API for project 'Omega'. Assigned to user_9.,Bug,High,user_9,2025-07-31,13
TSK-0093,Refactor the legacy database schema to improve performance for project 'Phoenix'. Assigned to user_10.,Bug,Medium,user_10,2025-08-27,1
TSK-0094,Design the UI/UX mockups for the new dashboard homepage for project 'Viper'. Assigned to user_3.,Design,Medium,user_3,2025-08-01,8
TSK-0095,Build a data visualization component for the analytics dashboard for project 'Phoenix'. Assigned to user_14.,Design,High,user_14,2025-08-29,14
TSK-0096,Fix the critical bug in the payment processing gateway API for project 'Phoenix'. Assigned to user_11.,Bug,High,user_11,2025-08-06,13
TSK-0097,Implement a real-time notification system using WebSockets for project 'Omega'. Assigned to user_14.,Feature,Medium,user_14,2025-09-14,9
TSK-0098,Fix the critical bug in the payment processing gateway API for project 'Viper'. Assigned to user_13.,Bug,High,user_13,2025-08-05,14
TSK-0099,Develop the new user authentication module using OAuth 2.0 for project 'Phoenix'. Assigned to user_12.,Feature,Medium,user_12,2025-09-09,10
TSK-0100,Conduct a security audit of the entire application stack for project 'Omega'. Assigned to user_4.,Research,High,user_4,2025-08-04,14
TSK-0101,Develop the new user authentication module using OAuth 2.0 for project 'Viper'. Assigned to user_17.,Feature,Low,user_17,2025-09-09,3
TSK-0102,Fix the critical bug in the payment processing gateway API for project 'Phoenix'. Assigned to user_15.,Bug,High,user_15,2025-08-31,6
TSK-0103,Optimize the front-end asset loading time for mobile devices for project 'Omega'. Assigned to user_1.,Feature,Medium,user_1,2025-08-07,12
TSK-0104,Develop the new user authentication module using OAuth 2.0 for project 'Eagle'. Assigned to user_6.,Feature,Medium,user_6,2025-08-03,11
TSK-0105,Build a data visualization component for the analytics dashboard for project 'Omega'. Assigned to user_9.,Design,Medium,user_9,2025-07-26,10
TSK-0106,Create and execute end-to-end test cases for the user profile feature for project 'Omega'. Assigned to user_5.,Testing,Medium,user_5,2025-09-04,11
TSK-0107,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Viper'. Assigned to user_2.,Bug,Medium,user_2,2025-08-26,8
TSK-0108,Set up a new CI/CD pipeline for the staging environment for project 'Phoenix'. Assigned to user_20.,DevOps,High,user_20,2025-08-14,15
TSK-0109,Analyze user feedback from the latest survey and create a summary report for project 'Viper'. Assigned to user_14.,Testing,Low,user_14,2025-08-05,3
TSK-0110,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Phoenix'. Assigned to user_11.,Bug,Low,user_11,2025-08-29,6
TSK-0111,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Omega'. Assigned to user_17.,Bug,Medium,user_17,2025-09-07,12
TSK-0112,Optimize the front-end asset loading time for mobile devices for project 'Viper'. Assigned to user_19.,Feature,High,user_19,2025-09-21,15
TSK-0113,Refactor the legacy database schema to improve performance for project 'Omega'. Assigned to user_8.,Bug,Medium,user_8,2025-08-25,1
TSK-0114,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Viper'. Assigned to user_16.,Bug,High,user_16,2025-09-09,14
TSK-0115,Design the UI/UX mockups for the new dashboard homepage for project 'Omega'. Assigned to user_2.,Design,High,user_2,2025-08-04,13
TSK-0116,Analyze user feedback from the latest survey and create a summary report for project 'Viper'. Assigned to user_7.,Testing,Medium,user_7,2025-08-28,9
TSK-0117,Update the privacy policy to comply with new GDPR regulations for project 'Phoenix'. Assigned to user_20.,Documentation,High,user_20,2025-09-17,14
TSK-0118,Update the privacy policy to comply with new GDPR regulations for project 'Omega'. Assigned to user_13.,Documentation,Medium,user_13,2025-09-19,10
TSK-0119,Implement a real-time notification system using WebSockets for project 'Omega'. Assigned to user_10.,Feature,Medium,user_10,2025-07-28,11
TSK-0120,Refactor the legacy database schema to improve performance for project 'Omega'. Assigned to user_7.,Documentation,Medium,user_7,2025-08-03,5
TSK-0121,Fix the critical bug in the payment processing gateway API for project 'Omega'. Assigned to user_4.,Bug,High,user_4,2025-08-11,2
TSK-0122,Implement a real-time notification system using WebSockets for project 'Viper'. Assigned to user_15.,Feature,Medium,user_15,2025-09-07,12
TSK-0123,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Viper'. Assigned to user_2.,Bug,High,user_2,2025-08-10,14
TSK-0124,Design the UI/UX mockups for the new dashboard homepage for project 'Viper'. Assigned to user_14.,Design,High,user_14,2025-08-19,13
TSK-0125,Conduct a security audit of the entire application stack for project 'Omega'. Assigned to user_5.,Research,High,user_5,2025-08-14,9
TSK-0126,Design the UI/UX mockups for the new dashboard homepage for project 'Viper'. Assigned to user_4.,Design,Low,user_4,2025-09-07,4
TSK-0127,Fix the critical bug in the payment processing gateway API for project 'Omega'. Assigned to user_9.,Bug,High,user_9,2025-08-17,4
TSK-0128,Develop the new user authentication module using OAuth 2.0 for project 'Phoenix'. Assigned to user_10.,Feature,Medium,user_10,2025-09-08,10
TSK-0129,Conduct a security audit of the entire application stack for project 'Eagle'. Assigned to user_8.,Research,High,user_8,2025-08-15,9
TSK-0130,Conduct a security audit of the entire application stack for project 'Viper'. Assigned to user_20.,Research,High,user_20,2025-09-10,2
TSK-0131,Update the privacy policy to comply with new GDPR regulations for project 'Viper'. Assigned to user_13.,Documentation,Medium,user_13,2025-09-16,9
TSK-0132,Analyze user feedback from the latest survey and create a summary report for project 'Viper'. Assigned to user_20.,Testing,Low,user_20,2025-09-12,6
TSK-0133,Fix the critical bug in the payment processing gateway API for project 'Phoenix'. Assigned to user_14.,Bug,High,user_14,2025-09-08,7
TSK-0134,Design the UI/UX mockups for the new dashboard homepage for project 'Phoenix'. Assigned to user_12.,Design,Medium,user_12,2025-08-31,11
TSK-0135,Refactor the legacy database schema to improve performance for project 'Eagle'. Assigned to user_8.,Bug,Medium,user_8,2025-09-04,4
TSK-0136,Write comprehensive API documentation for the new inventory management endpoints for project 'Omega'. Assigned to user_8.,Documentation,Medium,user_8,2025-08-10,9
TSK-0137,Develop the new user authentication module using OAuth 2.0 for project 'Viper'. Assigned to user_12.,Feature,High,user_12,2025-08-16,14
TSK-0138,Implement a real-time notification system using WebSockets for project 'Viper'. Assigned to user_2.,Feature,Low,user_2,2025-08-10,2
TSK-0139,Set up a new CI/CD pipeline for the staging environment for project 'Viper'. Assigned to user_11.,DevOps,Low,user_11,2025-08-26,2
TSK-0140,Fix the critical bug in the payment processing gateway API for project 'Omega'. Assigned to user_17.,Bug,High,user_17,2025-09-06,13
TSK-0141,Update the privacy policy to comply with new GDPR regulations for project 'Eagle'. Assigned to user_8.,Documentation,High,user_8,2025-08-26,13
TSK-0142,Create and execute end-to-end test cases for the user profile feature for project 'Omega'. Assigned to user_3.,Testing,High,user_3,2025-08-23,14
TSK-0143,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Eagle'. Assigned to user_2.,Bug,Low,user_2,2025-09-09,6
TSK-0144,Set up a new CI/CD pipeline for the staging environment for project 'Omega'. Assigned to user_13.,DevOps,Low,user_13,2025-09-10,4
TSK-0145,Migrate the user data from the old server to the new cloud infrastructure for project 'Phoenix'. Assigned to user_11.,Testing,High,user_11,2025-08-12,14
TSK-0146,Implement a real-time notification system using WebSockets for project 'Phoenix'. Assigned to user_16.,Feature,Medium,user_16,2025-09-09,8
TSK-0147,Analyze user feedback from the latest survey and create a summary report for project 'Eagle'. Assigned to user_13.,Testing,High,user_13,2025-08-30,14
TSK-0148,Write comprehensive API documentation for the new inventory management endpoints for project 'Omega'. Assigned to user_1.,Documentation,Medium,user_1,2025-09-17,9
TSK-0149,Develop the new user authentication module using OAuth 2.0 for project 'Omega'. Assigned to user_14.,Feature,Medium,user_14,2025-09-04,11
TSK-0150,Analyze user feedback from the latest survey and create a summary report for project 'Phoenix'. Assigned to user_13.,Testing,Low,user_13,2025-08-11,2
TSK-0151,Refactor the legacy database schema to improve performance for project 'Viper'. Assigned to user_17.,Testing,Medium,user_17,2025-08-18,10
TSK-0152,Develop the new user authentication module using OAuth 2.0 for project 'Phoenix'. Assigned to user_20.,Feature,Low,user_20,2025-08-14,6
TSK-0153,Create and execute end-to-end test cases for the user profile feature for project 'Phoenix'. Assigned to user_18.,Testing,Low,user_18,2025-08-15,4
TSK-0154,Design the UI/UX mockups for the new dashboard homepage for project 'Omega'. Assigned to user_12.,Design,Medium,user_12,2025-09-19,9
TSK-0155,Refactor the legacy database schema to improve performance for project 'Viper'. Assigned to user_12.,Research,Medium,user_12,2025-08-04,8
TSK-0156,Design the UI/UX mockups for the new dashboard homepage for project 'Omega'. Assigned to user_3.,Design,Medium,user_3,2025-09-11,8
TSK-0157,Create and execute end-to-end test cases for the user profile feature for project 'Viper'. Assigned to user_5.,Testing,High,user_5,2025-09-09,15
TSK-0158,Refactor the legacy database schema to improve performance for project 'Eagle'. Assigned to user_17.,Research,Medium,user_17,2025-09-10,1
TSK-0159,Build a data visualization component for the analytics dashboard for project 'Phoenix'. Assigned to user_18.,Design,Low,user_18,2025-08-21,6
TSK-0160,Create and execute end-to-end test cases for the user profile feature for project 'Phoenix'. Assigned to user_12.,Testing,Low,user_12,2025-08-30,2
TSK-0161,Update the privacy policy to comply with new GDPR regulations for project 'Omega'. Assigned to user_6.,Documentation,High,user_6,2025-08-04,13
TSK-0162,Optimize the front-end asset loading time for mobile devices for project 'Viper'. Assigned to user_9.,Feature,Medium,user_9,2025-08-27,2
TSK-0163,Fix the critical bug in the payment processing gateway API for project 'Omega'. Assigned to user_18.,Bug,High,user_18,2025-08-02,4
TSK-0164,Write comprehensive API documentation for the new inventory management endpoints for project 'Omega'. Assigned to user_14.,Documentation,Low,user_14,2025-08-19,2
TSK-0165,Migrate the user data from the old server to the new cloud infrastructure for project 'Eagle'. Assigned to user_6.,Testing,Medium,user_6,2025-09-08,4
TSK-0166,Build a data visualization component for the analytics dashboard for project 'Omega'. Assigned to user_5.,Design,Medium,user_5,2025-08-29,11
TSK-0167,Develop the new user authentication module using OAuth 2.0 for project 'Eagle'. Assigned to user_3.,Feature,Low,user_3,2025-08-20,2
TSK-0168,Conduct a security audit of the entire application stack for project 'Phoenix'. Assigned to user_6.,Research,High,user_6,2025-08-24,8
TSK-0169,Optimize the front-end asset loading time for mobile devices for project 'Eagle'. Assigned to user_19.,Feature,Medium,user_19,2025-08-24,7
TSK-0170,Design the UI/UX mockups for the new dashboard homepage for project 'Viper'. Assigned to user_17.,Design,Low,user_17,2025-08-09,4
TSK-0171,Fix the critical bug in the payment processing gateway API for project 'Eagle'. Assigned to user_6.,Bug,High,user_6,2025-08-28,9
TSK-0172,Design the UI/UX mockups for the new dashboard homepage for project 'Eagle'. Assigned to user_17.,Design,Medium,user_17,2025-09-20,10
TSK-0173,Design the UI/UX mockups for the new dashboard homepage for project 'Omega'. Assigned to user_20.,Design,Medium,user_20,2025-08-12,11
TSK-0174,Create and execute end-to-end test cases for the user profile feature for project 'Eagle'. Assigned to user_15.,Testing,Low,user_15,2025-09-08,4
TSK-0175,Create and execute end-to-end test cases for the user profile feature for project 'Phoenix'. Assigned to user_14.,Testing,Low,user_14,2025-08-03,5
TSK-0176,Conduct a security audit of the entire application stack for project 'Eagle'. Assigned to user_20.,Research,High,user_20,2025-08-06,7
TSK-0177,Implement a real-time notification system using WebSockets for project 'Omega'. Assigned to user_10.,Feature,Low,user_10,2025-09-01,4
TSK-0178,Migrate the user data from the old server to the new cloud infrastructure for project 'Omega'. Assigned to user_6.,Research,Medium,user_6,2025-09-14,4
TSK-0179,Design the UI/UX mockups for the new dashboard homepage for project 'Phoenix'. Assigned to user_11.,Design,High,user_11,2025-08-27,13
TSK-0180,Migrate the user data from the old server to the new cloud infrastructure for project 'Omega'. Assigned to user_10.,DevOps,Medium,user_10,2025-08-21,7
TSK-0181,Fix the critical bug in the payment processing gateway API for project 'Phoenix'. Assigned to user_8.,Bug,High,user_8,2025-08-08,3
TSK-0182,Implement a real-time notification system using WebSockets for project 'Phoenix'. Assigned to user_15.,Feature,Low,user_15,2025-07-27,3
TSK-0183,Design the UI/UX mockups for the new dashboard homepage for project 'Omega'. Assigned to user_16.,Design,Low,user_16,2025-08-01,4
TSK-0184,Optimize the front-end asset loading time for mobile devices for project 'Viper'. Assigned to user_20.,Feature,Medium,user_20,2025-08-03,9
TSK-0185,Update the privacy policy to comply with new GDPR regulations for project 'Viper'. Assigned to user_5.,Documentation,Medium,user_5,2025-08-15,6
TSK-0186,Analyze user feedback from the latest survey and create a summary report for project 'Phoenix'. Assigned to user_13.,Testing,High,user_13,2025-07-30,13
TSK-0187,Design the UI/UX mockups for the new dashboard homepage for project 'Viper'. Assigned to user_16.,Design,Medium,user_16,2025-07-27,11
TSK-0188,Conduct a security audit of the entire application stack for project 'Omega'. Assigned to user_11.,Research,High,user_11,2025-07-27,11
TSK-0189,Write comprehensive API documentation for the new inventory management endpoints for project 'Viper'. Assigned to user_12.,Documentation,High,user_12,2025-08-10,13
TSK-0190,Set up a new CI/CD pipeline for the staging environment for project 'Eagle'. Assigned to user_17.,DevOps,High,user_17,2025-08-14,15
TSK-0191,Design the UI/UX mockups for the new dashboard homepage for project 'Viper'. Assigned to user_1.,Design,High,user_1,2025-07-27,14
TSK-0192,Write comprehensive API documentation for the new inventory management endpoints for project 'Omega'. Assigned to user_12.,Documentation,Medium,user_12,2025-09-08,11
TSK-0193,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Phoenix'. Assigned to user_3.,Bug,Medium,user_3,2025-09-24,8
TSK-0194,Analyze user feedback from the latest survey and create a summary report for project 'Eagle'. Assigned to user_12.,Testing,Low,user_12,2025-09-14,4
TSK-0195,Set up a new CI/CD pipeline for the staging environment for project 'Eagle'. Assigned to user_2.,DevOps,Medium,user_2,2025-08-13,10
TSK-0196,Conduct a security audit of the entire application stack for project 'Omega'. Assigned to user_11.,Research,High,user_11,2025-08-08,4
TSK-0197,Build a data visualization component for the analytics dashboard for project 'Eagle'. Assigned to user_19.,Design,Medium,user_19,2025-08-02,12
TSK-0198,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Omega'. Assigned to user_6.,Bug,Low,user_6,2025-08-30,3
TSK-0199,Conduct a security audit of the entire application stack for project 'Phoenix'. Assigned to user_15.,Research,High,user_15,2025-08-07,7
TSK-0200,Migrate the user data from the old server to the new cloud infrastructure for project 'Phoenix'. Assigned to user_11.,Feature,Medium,user_11,2025-08-31,12
TSK-0201,Fix the critical bug in the payment processing gateway API for project 'Phoenix'. Assigned to user_11.,Bug,High,user_11,2025-08-01,10
TSK-0202,Set up a new CI/CD pipeline for the staging environment for project 'Viper'. Assigned to user_13.,DevOps,Low,user_13,2025-09-07,2
TSK-0203,Develop the new user authentication module using OAuth 2.0 for project 'Viper'. Assigned to user_7.,Feature,High,user_7,2025-09-11,13
TSK-0204,Resolve the CSS issues causing layout breaks on Safari browsers for project 'Phoenix'. Assigned to user_18.,Bug,High,user_18,2025-09-23,15
TSK-0205,Migrate the user data from the old server to the new cloud infrastructure for project 'Viper'. Assigned to user_12.,Bug,Medium,user_12,2025-09-11,4
TSK-0206,Implement a real-time notification system using WebSockets for project 'Eagle'. Assigned to user_7.,Feature,Low,user_7,2025-08-24,3
TSK-0207,Fix the critical bug in the payment processing gateway API for project 'Eagle'. Assigned to user_18.,Bug,High,user_18,2025-09-03,7
TSK-0208,Set up a new CI/CD pipeline for the staging environment for project 'Omega'. Assigned to user_12.,DevOps,Medium,user_12,2025-08-09,10
TSK-0209,Update the privacy policy to comply with new GDPR regulations for project 'Phoenix'. Assigned to user_6.,Documentation,Medium,user_6,2025-08-28,7
TSK-0210,Analyze user feedback from the latest survey and create a summary report for project 'Eagle'. Assigned to user_18.,Testing,Low,user_18,2025-09-15,4
